LTTRY_PROJ_NO,TOTAL_HH_INCOME,HH_SIZE,TOTAL_HH_INCOME_count,HH_SIZE_count,TOTAL_HH_INCOME_max,HH_SIZE_max,TOTAL_HH_INCOME_min,HH_SIZE_min
329,37569.78834992988,1.871623822675448,68288,70605,18210000.0,11,0.0,1
330,33698.00277218674,2.0364413533289865,52565,55212,34892000.0,11,0.0,1
331,35278.85651774548,2.046104019813298,45617,47241,3097770.0,11,0.0,1
332,38965.24801175341,1.8787154960957166,88656,93359,4200638.0,11,0.0,1
333,37762.92232636645,1.9239582461134834,69615,71658,18210000.0,11,0.0,1
334,35353.97051544222,2.0395323144908857,52227,54310,6132490.0,11,0.0,1
335,35426.903076529285,1.8789261428865798,33216,33971,4200638.0,11,0.0,1
336,36568.34540846221,1.8914423017682214,31741,32462,4200638.0,11,0.0,1
339,36598.16581252221,1.879302996524818,59143,61004,18210000.0,11,0.0,1
340,33660.4256092507,1.948750136447986,17858,18322,3097770.0,11,0.0,1
341,35734.41156233436,1.9316098602829936,43403,44948,34892000.0,11,0.0,1
342,35908.40934591107,1.896793388429752,29629,30250,3097770.0,8,0.0,1
343,35366.46716595317,1.8818781412903347,52328,53521,4600044.0,11,0.0,1
344,38710.924180291935,1.85181689476168,61589,63570,18210000.0,11,0.0,1
345,33969.708531442906,2.035002585418241,24616,25141,3097770.0,9,0.0,1
347,33916.827017919146,1.6690710416059178,57480,65159,4200000.0,9,0.0,1
349,35771.57926749138,1.7500075000750008,32573,33333,4200000.0,10,0.0,1
350,34473.67497286389,1.9983869341667506,19347,19838,3131600.0,9,0.0,1
351,34251.107193949196,2.052920130297798,54076,56179,4600044.0,11,0.0,1
352,37836.678858965184,1.816361679224973,45152,46450,18210000.0,11,0.0,1
353,31829.14842864598,1.758879064888356,36389,40038,6132490.0,11,0.0,1
354,34401.93456802141,2.0122096061570622,20545,21049,4600044.0,11,0.0,1
355,37705.80625251791,1.900515202089834,40211,41343,4200638.0,11,0.0,1
356,35998.29191538733,1.9469719006341264,33612,34378,4600044.0,11,0.0,1
357,36169.359163383604,1.9016547745559436,32237,32935,4600044.0,12,0.0,1
358,34338.41986370195,2.0159918339571283,20103,20573,2600000.0,11,0.0,1
359,34843.3189359466,2.0301150170095577,58982,61730,6132490.0,11,0.0,1
360,36801.37544101113,1.8798736139263146,32913,33548,4200638.0,9,0.0,1
361,34127.68556480719,1.9931574260673948,20777,21337,2600000.0,10,0.0,1
362,35783.828221883465,1.8095188574597891,28204,28848,3777072.0,9,0.0,1
363,37111.63772232967,1.8761410917220394,31541,32206,4200638.0,11,0.0,1
364,32766.090923363812,2.0649957519116398,53630,56496,6330870.0,11,0.0,1
365,36844.02399307019,1.9173115113332877,28572,29206,3756504.0,11,0.0,1
367,41539.48949956749,1.8024247231113504,68221,70606,4600044.0,11,0.0,1
368,35503.424632805305,1.9248967100229533,62746,65350,6165120.0,11,0.0,1
369,35398.260777903015,2.0823698344025066,51446,53624,22902000.0,11,0.0,1
370,36387.65339045581,1.8797220335440723,37405,38278,4200638.0,9,0.0,1
371,36688.37871441143,2.0595693736508918,53353,55129,22902000.0,9,0.0,1
372,35923.615018748984,1.8402338041889916,40002,41060,4600044.0,10,0.0,1
373,36300.83081675974,1.9663724560507696,26850,27418,4600044.0,12,0.0,1
374,36857.32118265274,1.8725306716573091,37585,38472,4600044.0,9,0.0,1
375,36148.8972222222,1.9151944627554385,29718,30340,4600044.0,12,0.0,1
376,35938.53279254755,1.9058480913026368,61349,63525,4600044.0,9,0.0,1
377,35027.980856302995,1.8224119231711158,27899,28583,4600044.0,8,0.0,1
378,34164.85484040212,1.985779765231973,43265,44725,22902000.0,9,0.0,1
379,36420.586188258116,2.0411229914220126,63328,66216,22902000.0,9,0.0,1
380,35681.59082207704,1.9823124597553123,48195,49696,5550870.0,10,0.0,1
381,39549.70823118272,2.012838713659651,31620,32402,4600044.0,10,0.0,1
382,43164.94741925608,1.831879534992588,62048,64085,22902000.0,10,0.0,1
